;GHI
1331;875
1332;1057
1333;996
1334;604
1335;757
1336;309
1337;56
1338;18
1339;0
1340;0
1341;0
1342;0
1343;0
1344;0
1345;0
1346;0
1347;0
1348;0
1349;0
1350;0
1351;50
1352;266
1353;484
1354;719
1355;915
1356;954
1357;891
1358;990
1359;783
1360;395
1361;36
1362;13
1363;0
1364;0
1365;0
1366;0
1367;0
1368;0
1369;0
1370;0
1371;0
1372;0
1373;0
1374;0
1375;17
1376;67
1377;278
1378;313
1379;219
1380;399
1381;696
1382;769
1383;520
1384;471
1385;98
1386;29
1387;0
1388;0
1389;0
1390;0
1391;0
1392;0
1393;0
1394;0
1395;0
1396;0
1397;0
1398;0
1399;36
1400;91
1401;376
1402;646
1403;445
1404;788
1405;1056
1406;1004
1407;858
1408;629
1409;83
1410;113
1411;0
1412;0
1413;0
1414;0
1415;0
1416;0
1417;0
1418;0
1419;0
1420;0
1421;0
1422;0
1423;89
1424;235
1425;283
1426;461
1427;583
1428;889
1429;910
1430;730
1431;522
1432;443
1433;232
1434;47
1435;0
1436;0
1437;0
1438;0
1439;0
1440;0
1441;0
1442;0
1443;0
1444;0
1445;0
1446;0
1447;39
1448;251
1449;362
1450;546
1451;528
1452;474
1453;757
1454;597
1455;754
1456;447
1457;265
1458;44
1459;0
1460;0
1461;0
1462;0
1463;0
1464;0
1465;0
1466;0
1467;0
1468;0
1469;0
1470;0
1471;15
1472;45
1473;121
1474;395
1475;832
1476;962
1477;1049
1478;682
1479;329
1480;156
1481;106
1482;43
1483;0
1484;0
1485;0
1486;0
1487;0
1488;0
1489;0
1490;0
1491;0
1492;0
1493;0
1494;0
1495;65
1496;143
1497;119
1498;446
1499;619
1500;886
1501;199
1502;106
1503;100
1504;65
1505;99
1506;27
1507;0
1508;0
1509;0
1510;0
1511;0
1512;0
1513;0
1514;0
1515;0
1516;0
1517;0
1518;0
1519;17
1520;65
1521;455
1522;441
1523;419
1524;346
1525;401
1526;143
1527;179
1528;251
1529;112
1530;24
1531;0
1532;0
1533;0
1534;0
1535;0
1536;0
1537;0
1538;0
1539;0
1540;0
1541;0
1542;0
1543;18
1544;38
1545;79
1546;126
1547;146
1548;216
1549;534
1550;577
1551;438
1552;238
1553;129
1554;33
1555;0
1556;0
1557;0
1558;0
1559;0
1560;0
1561;0
1562;0
1563;0
1564;0
1565;0
1566;0
1567;33
1568;70
1569;102
1570;310
1571;450
1572;854
1573;769
1574;803
1575;691
1576;510
1577;273
1578;37
1579;0
1580;0
1581;0
1582;0
1583;0
1584;0
1585;0
1586;0
1587;0
1588;0
1589;0
1590;0
1591;144
1592;375
1593;655
1594;870
1595;974
1596;985
1597;566
1598;691
1599;329
1600;74
1601;96
1602;19
1603;0
1604;0
1605;0
1606;0
1607;0
1608;0
1609;0
1610;0
1611;0
1612;0
1613;0
1614;0
1615;35
1616;99
1617;96
1618;176
1619;471
1620;784
1621;755
1622;418
1623;409
1624;201
1625;164
1626;19
1627;0
1628;0
1629;0
1630;0
1631;0
1632;0
1633;0
1634;0
1635;0
1636;0
1637;0
1638;0
1639;45
1640;228
1641;107
1642;365
1643;271
1644;691
1645;932
1646;693
1647;705
1648;410
1649;270
1650;29
1651;0
1652;0
1653;0
1654;0
1655;0
1656;0
1657;0
1658;0
1659;0
1660;0
1661;0
1662;0
1663;65
1664;315
1665;571
1666;882
1667;1030
1668;1072
1669;964
1670;426
1671;68
1672;87
1673;119
1674;23
1675;0
1676;0
1677;0
1678;0
1679;0
1680;0
1681;0
1682;0
1683;0
1684;0
1685;0
1686;0
1687;68
1688;269
1689;621
1690;844
1691;873
1692;883
1693;1018
1694;420
1695;220
1696;246
1697;35
1698;13
1699;0
1700;0
1701;0
1702;0
1703;0
1704;0
1705;0
1706;0
1707;0
1708;0
1709;0
1710;0
1711;70
1712;262
1713;502
1714;629
1715;705
1716;933
1717;999
1718;917
1719;674
1720;384
1721;246
1722;15
1723;0
1724;0
1725;0
1726;0
1727;0
1728;0
1729;0
1730;0
1731;0
1732;0
1733;0
1734;0
1735;144
1736;423
1737;648
1738;893
1739;0
1740;1094
1741;659
1742;825
1743;765
1744;66
1745;125
1746;20
1747;0
1748;0
1749;0
1750;0
1751;0
1752;0
1753;0
1754;0
1755;0
1756;0
1757;0
1758;0
1759;153
1760;304
1761;330
1762;702
1763;955
1764;828
1765;1065
1766;907
1767;726
1768;474
1769;113
1770;14
1771;0
1772;0
1773;0
1774;0
1775;0
1776;0
1777;0
1778;0
1779;0
1780;0
1781;0
1782;0
1783;170
1784;427
1785;540
1786;831
1787;873
1788;820
1789;971
1790;668
1791;683
1792;287
1793;185
1794;18
1795;0
1796;0
1797;0
1798;0
1799;0
1800;0
1801;0
1802;0
1803;0
1804;0
1805;0
1806;0
1807;157
1808;410
1809;564
1810;589
1811;781
1812;1022
1813;348
1814;479
1815;732
1816;461
1817;244
1818;20
1819;0
1820;0
1821;0
1822;0
1823;0
1824;0
1825;0
1826;0
1827;0
1828;0
